Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
Delmonico's Kitchen,4.1,217,Muy Alto,"american, steakhouse","Wonderful Caesar salad, great bread & butter, steak cooked to perfection and... | Nice bar"
Denino's Greenwich Village,4.4,79,Medio,"italian, bar, pizza, pub",The pizza was perfect New York style pizza; crisp thin crust with fantastic... | Great Clam Pizza!
Deux AMIS,4.3,171,Medio,"french, european","It was our first evening in NYC, and were had a great dinner at Deux Amis. It's... | ... coq au vin, and beef bourguignon."
Dhaba,4.0,259,Medio,"indian, asian","The menu had something for all dietary requirements: fish, lamb, chicken, and 4... | good food in a nice ambiance"
Dim Sum Go Go,4.0,471,Medio,"chinese, asian, cantonese, hong kong","For dinner I had the PanFried Pork Dumplings, the Soup Dumplings, the Fried S... | Tasty and authentic dim sum"
Dim Sum Palace,4.2,378,Medio,"chinese, asian, cantonese, hong kong",Excellent Dim Sum restaurant! | Authentic Chinese Dishes around the 56th area
Dimsum Garden,4.0,12,Medio,"chinese, asian",Great for dim sum | Good value tasty Food
Dinosaur Bar-B-Que,4.5,1258,Medio,"american, bar, barbecue, latvian","Best ribs I ever had! | ... of Pulled Pork, Brisket, Hot Sausag..."
Dirt Candy,4.5,387,Medio,american,Magical | Exceptional dining experience
Dirty French New York,4.1,430,Muy Alto,"french, european","... wow, the Roasted Salmon & Steak frites was outstanding When it came to de... | Good food good company"
District Tap House,4.1,217,Medio,"american, bar, pub, gastropub","The small plates were also excellent. We shared several small plates; brussels... | We had chicken tacos and bacon, lettuce..."
"Docks Oyster Bar - Midtown East, Nyc",4.1,661,Medio,"american, seafood","This was our second visit to Docks. The food was wonderful again and the... | Great atmosphere & buzz, good food and excellent service."
Dolly's NYC,4.3,342,Medio,"american, bar","We had 5 days in NYC with hundreds of restaurants to choose from everyday... | For dinner, he had the Dolly Burger, an..."
Don Angie,4.5,96,Medio,"italian, contemporary","We shared the lasagna which is one of the house specials. It was delicious. We... | Chrysanthemum salad, stuffed garlic fla..."
Don Antonio,4.3,2350,Medio,"italian, pizza, neapolitan","Nice gluten free options | Good pizza, but EXPENSIVE!!"
Don Giovanni,4.1,797,Medio,"italian, pizza",The Pizza I ordered was really delicious! Good prices and excellent service! I... | Pizza
Don Giovanni Ristorante,4.0,284,Medio,"italian, pizza",Fab pasta and pizzas in Hells Kitchen | We just had the most amazing family...
Dos Caminos,4.7,145,Medio,"mexican, latin, bar, spanish, south american",Delicious tacos | Best Margaritas Ever!!!!!
Dos Toros Taqueria,4.3,163,Bajo,"mexican, latin, fast food","Burritos aren't giant by my standards, but they're really good and taste really... | The burrito with braise chicken was del..."
Drai's Supper Club New York,5.0,1,Muy Alto,"french, american",Amazing place recommend!!!
Dudleys,4.4,323,Medio,"american, bar, cafe",Great / Brunch/ Café/ Restaurant | About one block south of Tenement Museum
Dunhill Cafe & Caterers,4.2,136,Bajo,"american, cafe",Our first morning in New York and we wanted a typical New York breakfast. The... | Always Great Food and Great Service
Dutch Fred's,4.4,328,Medio,"american, bar, pub",Nice cocktail bar | Good cocktails
EN Japanese Brasserie,4.1,335,Muy Alto,"japanese, bar, asian, kaiseki, kyoto cuisine","great atmosphere, tasty sushi(nigiris and sashimi), clean and good service... | Best Kaisekei in NYC"
Ear Inn,4.3,233,Medio,"american, bar, pub",I was just too tired to really appreciate the history of the place. Shame on... | Ceol Agus Craic
Eat Here Now,4.0,239,Bajo,"american, diner",My spouse loves their grilled bacon and cheese sandwich with a side of cole... | I eat here now 😘
Eataly Downtown,4.2,1978,Medio,"italian, pizza, wine bar",We visited the market and had gelato! | I love to shop at Eataly on 23rd street...
Eataly NYC Downtown,3.3,22,Muy Alto,"italian, pizza","Average food at above average prices | terrible service, rude manager"
Ed's Lobster Bar,4.4,768,Medio,"american, seafood",A quick lunch | DELICIOUS!
El Coco 9th Ave,4.9,78,Muy Alto,"mexican, bar, pub",A lot of fun | Vacation lunch
El Parador Cafe,4.3,223,Medio,"mexican, latin, contemporary","El Parador was, and is, the epitome of what going out to dinner should mean... | A surprisingly excellent restaurant of 34 street near the midtown tunnel entrance. Quite unassuming with excellent food."
El Pote Espanol,4.3,120,Medio,"mediterranean, spanish",Rioja is my favorite when eating here. | Wonderful Spanish food
El Quijote,4.1,322,Medio,"latin, seafood, spanish","Their lobster is to die for, served with salad, sides, and Sangria (by the... | ... the heads on, mussels, clams, and c..."
El Vez and Burrito Bar,4.2,352,Medio,"mexican, southwestern, latin",We were visiting Lower Manhattan and decided to try out El Vez for brunch... | Very good Mexican option near WTC
Elea,4.5,88,Medio,"seafood, greek","From the numbers of people dining there last night this is a hot spot on the... | Enjoyed the chicken souvlaki, calamari,..."
Elephant & Castle,4.3,178,Medio,"american, international","But this small, casual, egg-centric restaurant keeps on going and going and... | Reasonably priced pub style food"
Eleven Madison Park,4.4,2772,Muy Alto,"american, european","... indulgent, and the Honey-Lavender Duck with Daikon and Plum was, as expec... | Just OK"
Ella Social,4.3,166,Medio,"bar, mediterranean, spanish",Great place for tapas and cocktails. We will definitely return every time we’re... | Thumbs up - but read this first
Ellen's Stardust Diner,4.1,23592,Medio,"american, diner","This place was recommended to us by several people, and it did not disappoint... | Great pancakes & singing"
Elmo,4.1,317,Medio,"american, bar","Chelsea staple for good food and friendly servers, except the bartender... | We dined at Elmo’s twice last week and..."
Em Vietnamese Bistro,4.6,32,Medio,"seafood, asian, vietnamese, soups",Best Asian restaurant in dumbo | Where to go for Vietnamese food? Right here!
Emilio's Ballato,4.3,395,Medio,italian,I can't remember the last time I enjoyed old-school Italian food as much as I... | ... had the fried mozarella and a salad.
Emmett's,4.4,127,Medio,"american, bar, pizza","I highly recomend this place. Its a very cozzy place with very good pizza. The... | Pizza, salad, Italian beef, chips"
Empanada Mama Les,4.4,75,Bajo,"latin, central american",always eat empanadas | Fine for late night drunk food
Empellon,4.2,197,Medio,"mexican, latin","The queso fundido ($24) was very different with red & green sausage & cheese.... | ... twist from navhos, to tacos to sides."
Empellon Taqueria,4.2,204,Medio,"mexican, latin","We decided to get two different tacos, Lamb and funky Red Chile Duck tacos. The... | Good Option for Mexican Food & Drinks."
Empire Diner,4.1,486,Medio,"american, diner",IF you are visiting NYm NY this should be a go to place and don't forget to... | I ordered soup and grilled cheese for a...
Empire Steak House Midtown East,4.2,388,Muy Alto,"italian, steakhouse, seafood, grill","... 1/2 bottle of Argentine Malbec, which paired nicely with the steak. | I'd especially mention the tuna."
Empire Steak House Times Square,4.6,46,Muy Alto,"italian, steakhouse, seafood","Amazing food, Staff and atmosphere | The BEST ever!"
Employees Only,4.2,453,Medio,"american, bar, international","Drinks are good, food is delicious. We ordered the grilled cheese and truffle... | ... Ripleys Believe or not in Orlando."
Emporio,4.5,605,Medio,"italian, pizza, wine bar","... seared diver scallops, lobster risotto, clam pasta (similar to vongole) a... | Nice restaurants, good food & atmosphere"
Emporium Brasil,4.3,426,Medio,"brazilian, latin, south american","Wonderful, authentic Brasil | Late Business Lunch"
Epistrophy,4.2,201,Medio,"italian, mediterranean, wine bar",Our son wanted to try this place and we stopped after a long day in NYC on a... | Quite and cozy
Ess-a-Bagel,4.4,64,Bajo,"american, fast food",So many different bagels to choose from as well as different cream cheeses.... | Delicious bagels
"Ess-a-Bagel, Inc.",4.4,668,Bajo,"american, cafe, deli",Bagel was a bit too full of dough. Bacon and Egg on a poppy seed bagel met my... | Great traditional bagels
Essen Slow Fast Food,4.4,100,Bajo,american,"Someone recommended Essen and I had no idea what to expect. The storefront was... | ... hot ,salad sandwiches desserts etc ..."
Essential By Christophe,5.0,23,Muy Alto,"french, european, contemporary, fusion","The waiters are very helpful, and I had the wine pairing which was excellent. | The best restaurant on the Upper West side, worthy of a trip from anywhere in the five boroughs"
Essex Restaurant,4.2,142,Medio,"american, steakhouse, bar, contemporary, fusion","Essex not to be confused with Beauty on Essex, which is right down the street... | Non-Stop Mimosas!"
Estela,4.2,415,Medio,"american, contemporary, wine bar","Apart from the service which was outstanding, the food was to die for, with the... | Mixed, Very Mixed..."
Estiatorio Milos,4.3,111,Muy Alto,"seafood, mediterranean, greek","Milos Special is a must try. The grilled octopus with hummus was so wonderfully... | ... delicious - octopus, branzino and t..."
Estiatorio Milos - Midtown New York,4.4,1637,Muy Alto,"seafood, mediterranean, greek, healthy","However, the grilled calamari, crab cake, soft shell crab, octopus, and scall... | Good Greek Fare"
Excuse My French,4.8,73,Medio,"french, european","We had tuna, escargots, baked musroom, and brussels sprouts and the rose wine... | Cozy atmosphere, delightful plates."
Extra Virgin,4.0,353,Medio,contemporary,"Visited Extra Virgin with 2 friends for brunch. Highly suggest you make a... | Fun, West Village Italian"
Faces and Names,4.4,324,Medio,american,"We also had some bites one evening - vegetable spring rolls, onion rings, and... | Great food value convenient to Carnegie Hall"
Fairway Cafe,4.0,330,Medio,"american, cafe",Visited here whilst staying at Hotel Beacon opposite the store and cafe... | Breakfast before leaving NYC
Fanelli Cafe,4.1,382,Medio,"american, bar, pub","Burger okay , french fries nice and crispy , tomato soup very simple. | Take a break from shopping in SoHo, sit..."
Farinella Italian Bakery Pizza,4.3,105,Medio,"italian, pizza",First time and I took a pizza home to heat up later. Service quick and... | Come and grab a slice
Felice 15 Gold,4.3,300,Medio,italian,Home made pasta and authentic Italian food. | Everything was delicious and the ambiance...
Felice 56,4.4,42,Medio,"italian, european","I had a mozzarella e pomodori appetizer, salmon entree and a to-die-for... | Almost 5"
Fiat Cafe,4.3,419,Medio,"italian, contemporary",We ate breakfast here twice and lunch another time - all in a few days! Fiat... | Nice Spot for Causal Dinner
Fish Cheeks,4.5,80,Medio,"seafood, asian, thai","Thai-Inspired Dining with Fresh Flavours | ... excellent, especially the crab curry."
Five Guys,4.3,1858,Bajo,"american, fast food","Yummy | Five Guys, New York City, USA"
Five Senses,4.2,174,Medio,"asian, korean",Braised seafood with snow crab and other shellfish was soooo gooood! Other... | KoreaTown Grill
Flex Mussels,4.4,357,Medio,"seafood, canadian",Mussel and Shrimp Great Lobster roll Great Salmon Good Don’t order the Chicke... | These mussels were so well prepared...
Fogo de Chão Brazilian Steakhouse,4.2,1239,Muy Alto,"steakhouse, brazilian, bar, seafood, barbecue","The service was very efficient. The meat was cooked to perfection and the salad... | Delicious Desserts, Great Experience"
Foxy John's Bar & Kitchen,4.3,249,Medio,"american, bar, grill, pub",But we found two seats at the bar and it... | Go here....
Franchia Vegan Cafe,4.4,419,Medio,"sushi, asian, korean, healthy",... side of kimchi which I could eat wh... | Good spot for dinner
Frankie & Johnnie's Steakhouse,4.2,386,Muy Alto,steakhouse,Wonderful steak dinner | I had the lamb and my daughter had a...
Frankie & Johnnie's Steakhouse 46th Street,3.9,656,Muy Alto,"steakhouse, seafood","Even with the COVID restrictions, Frankie and Johnnie's never disappoints! We... | Great steak, relaxing atmosphere"
Fraunces Tavern,4.2,1676,Medio,"american, contemporary",Chicken pot pie recommended | Amazing history
Fred's,4.2,358,Medio,"american, bar, dining bars",Kid friendly! | The chili is excellent.
Fresco by Scotto,4.1,544,Muy Alto,"italian, contemporary","All of it was great , margarita pizza, pasta with lobster , salmon with veget... | The total Fresco experience was very..."
Fresh and Co.,4.3,224,Bajo,"american, fast food, healthy",Great selection of food. Fresh and healthy. Prices are good for Manhattan. Had... | ... I Ate There for Breakfast and Lunch!
Frevo,4.8,52,Muy Alto,"french, international, contemporary","Franco, the Brazilian chef, is a future star of the restaurant world. He can... | Amazing from start to finish!"
Friedman's,4.3,1464,Medio,"italian, american",Breakfast had the gf lemon ricotta pancakes which was very very good. | Great place for breakfast
Friend of a Farmer,4.0,551,Medio,american,MENU- it was a newer summer menu and I had the crab cakes with corn. | Excellent
Fumo Chelsea,5.0,2,No disponible,italian,A great Italian restaurant | Great new addition to restaurants near the Joyce Theater
Fushimi Times Square,4.8,23,Medio,"japanese, sushi, asian",BEST sushi in NYC | Great food! Great service. Near theater district. Would come back!
GMT Tavern,4.2,197,Medio,"bar, seafood, british, pub, gastropub",GMT Tavern is a true gem in Greenwich Village. | I recently stopped in at GMT tavern...
Gabriel Kreuther,4.6,806,Muy Alto,"french, contemporary",... Gras and Duck Breast within the sam... | Lovely meal in a lovely setting
Gaia Restaurant,4.6,5,No disponible,"seafood, european, greek","... trio of dips with crudités and pitas, 3 appetisers, one main and one side. | Fantastic find"
Galaxy Diner,4.1,541,Bajo,"american, diner",A warm welcoming diner in NYC. Good food... | Busy local diner
Gallaghers Steakhouse,4.4,6212,Muy Alto,"steakhouse, seafood","Great value for the price: clam chowder, filet mignon, cheesecake and a glass... | The soup of the day was beef vegetable..."
Gallow Green,4.0,313,Medio,american,Our group was surprised as we walked across simulated rail tracks and made ou... | We had a party of 10 last night at the...
Gaonnuri,4.3,650,Muy Alto,"bar, barbecue, korean",This is cooked at the table on a centre... | Good views and only visiting New York once so enjoy the pricy meal but won’t go back
Gatsby's Landing Times Square,4.6,49,Medio,"american, contemporary",Perfect spot for NYE celebration! | F. Scott Fitzgerald's Favorite
Gayle's Broadway Rose,4.2,120,Medio,american,"The Staff was so friendly n talented. We had a great time. More petiole know... | Broadway dining, quality food."
Gelso & Grand,4.2,1018,Medio,"italian, pizza",We enjoyed outdoor seating at this super cute location in Little Italy... | Great Italian in a cute spot
George's,4.2,1004,Medio,"american, diner",I'm still dreaming about the pancakes... | Classic New York breakfast cafe. Always busy
Giano Restaurant,4.6,105,Medio,italian,"In summer you can eat in the back garden, other times inside is small and... | Delicious authentic Italian with a beautiful atmosphere"
Gigino Trattoria,4.3,267,Medio,italian,Gigino is a lovely little Italian staple in TriBeCa. Great to be with Matt... | Thanksgiving Dinner in New York City
Ginger Ristoranti NY,5.0,3,No disponible,"italian, contemporary",Highly recommended | Was OK
Giorgio's of Gramercy,4.4,273,Medio,"italian, american, contemporary",The food from appetizer to dessert was outstanding. Highly recommend if in the... | The Rack of Lamb was delicious.
Glass House Tavern,4.2,922,Medio,"american, contemporary","Very pleasant experience | Good food, convenient location"
Gnocco,4.3,212,Medio,"italian, pizza","What a find! Solid Italian food in the East Village. Great appetizers, pizza... | Very good Italian with House Made Pasta"
Good Enough to Eat,4.1,801,Medio,american,"Good coffee, good bacon, the strawberry butter served with the pancakes is... | ... walk in the park from our hotel and..."
Gossip Bar & Restaurant,4.2,168,Medio,irish,Had a Christmas dinner at Gossip for my staff! The service and the food was... | Great for a pitstop
Gotham Restaurants Llc,4.5,1763,Muy Alto,american,"The attention to detail in taste, flavor and presentation is outstanding. The... | “What’s taken you so long to try us?”"
Gradisca,4.3,162,Medio,"italian, mediterranean, european","The pasta is also home made, and so delicious. I can't wait to go back and try... | Old School New York"
Gramercy Tavern,4.6,3852,Muy Alto,american,"Food and wine all good, in particular the meatballs, sword fish and pork shou... | We followed that up with the pasta whic..."
Grand Bar and Salon,4.4,170,Medio,"american, bar, contemporary","The drinks were great and the meal delicious. Yes, you may imagine I highly... | Love the drinks"
"Grand Central Oyster Bar, Inc.",3.9,5137,Medio,"bar, seafood","... crab cake, a bowl of New England clam chowder and a Classic Caesar Salad ... | I also LOVE the wood paneled bar in the..."
Greek Kitchen,4.2,307,Medio,greek,We started with the octopus (really good but the priciest app) and the zucchi... | Wonderful restaurant for Greek food in...
Grotta Azzurra Restaurant,3.6,849,Medio,italian,"The lasagna was very good, but the ravioli and Cannelloni not so much impress... | Located in the heart of Little Italy, it..."
Guantanamera,4.3,703,Medio,latin,Nice reasonably priced cuban restaurant | Great Cuban Food in Hells Kitchen
Gyu-Kaku Japanese BBQ,4.3,445,Medio,"japanese, barbecue, asian",Casual and fun atmosphere | Gyu-Kaku
Hakata Ippudo NY,4.4,624,Medio,"japanese, asian, soups","I got a glass of a delicious sake, and the ramen was very very good. I just... | Fantastic Vegetarian Ramen"
Hama Japanese Cuisine,4.4,207,Medio,"japanese, bar, sushi, asian","Great food, great service, great atmosphere, great value. We had the lunch deal... | Excellent sushi"
Hamburger America,4.7,32,Medio,american,Jen had the Monthly Burger Special from... | Go for the 'George Motz's Fried Onion Burger'!
Han Dynasty Upper West Side,4.2,134,Medio,"chinese, asian, szechuan","We decided to order one of their specialties, Dan Dan noodles and boy was it... | Beautiful deco"
HandCraft Kitchen & Cocktails,4.4,20,Medio,"american, bar, pub","The verdict? Awesome! perfectly charred yet still soft bread, generous amounts... | Average NYC Bar/Rest"
Hangawi,4.5,664,Muy Alto,"asian, korean, healthy",It was the special one near the entrance. So we did not need to remove our... | ... Leaf Tofu Patties (with red pepper ...
Harlem Tavern,3.9,386,Medio,"american, bar, pub","However, arriving to New York, this was the BEST food we had on the trip, and... | Friendly bar and restaurant"
Harry Cipriani,3.9,699,Muy Alto,italian,It has a great reputation for the food and service--as well as the challenge to... | Good food as always. Service is excellent. Deser is best
Harry's,4.3,393,Muy Alto,"american, steakhouse",We really enjoyed Harry's and will certainly return the next time we are in... | business dinner
Harry's Italian Pizza Bar,4.0,385,Medio,"italian, pizza","Portions were huge, I could only eat less than half of my small pizza and eve... | Used the restaurant once during a recent..."
Haswell Green's,4.5,108,Medio,"american, bar, pub, gastropub","Great prices, their pizza and donuts are amazing. The staff are super friendly... | Great atmosphere"
Hatsuhana Sushi Restaurant,4.5,443,Medio,"japanese, sushi, asian",The size was big and it was very fresh!! We ordered Sushi Deluxe for main meal... | Awesome sushi paired with great service
Hav & Mar,4.3,29,Medio,"bar, seafood, swedish, ethiopian",A little different | Fusion in fun space
Havana Central Times Square,4.1,2025,Medio,"bar, cuban, dining bars","... wings), main (beef brisket, pork) and a dessert (churros or flan) for $50... | A good flavorful experience"
Haven Rooftop,3.9,903,Medio,"bar, dining bars","In the time between our Broadway play and dinner, my wife and I had drinks on... | ... and the truffle fries were plentifu..."
Hearth,4.2,298,Muy Alto,italian,The service was excellent. The food is interesting and delicious. I can't wait... | Would Dine Again
Heidelberg Restaurant,4.1,305,Medio,"german, bar, european, central european","I had a roasted pork shank with sauerkraut, red cabbage, and spätzle. | Great food but pricey and with somewhat indifferent service"
Hello Deli,4.4,103,Bajo,"american, deli",People watching the folks walking by and enjoying very good sandwiches was a... | Very good Rueben
Her Name Is Han,4.5,332,Medio,"japanese, asian, korean","We had the tofu hot pot, Bi Bim Bop, kimchi, kimchi Pancake. | Superb restaurant with lovely food, highly recommend."
Hey Thai,4.7,33,Medio,"asian, thai","... Kha Gai soup, spicy Thai fried rice, Massaman curry, and Thai basil chicken. | Great food, service and drinks"
Hi-Life Bar & Grill,3.9,80,Medio,"american, bar, steakhouse, sushi",sushi made on the spot and delicious fried calamari. The staff was on-it the... | Thursday Night Adult Beverages
Hide-Chan Ramen Midtown East,4.2,181,Bajo,"japanese, asian, soups","Everything's impeccable. Hosts are very courteous, polite yet friendly. Simple... | Tasty Ramen"
Hill Country Barbecue Market,4.1,1132,Medio,"american, bar, barbecue","Brisket was the best. Pork, Turkey and Jalapeño sausage were very good as well... | Great food"
Hillstone,4.4,677,Medio,"american, bar, sushi",... to not have the ribs each time. | Good tip 👍
Hold Fast,4.6,64,Medio,"american, bar, pub","Our table enjoyed a chicken sandwich, chicken and waffles and Chilaquiles. | Also, fish and chips, which our friend..."
Hole In The Wall - FiDi,4.4,115,Bajo,"cafe, australian",Amazing Avocado toast | Have visited couple cafe in NYC. The one...
Holywater,4.8,4,No disponible,"american, cajun & creole","The vibe is unique, like stepping into a New Orleans ship’s underbelly with c... | Found a gem"
Hop Kee Restaurant,3.9,338,Medio,"chinese, asian, cantonese, shanghai, hong kong","We had egg rolls, Moo Shu Chicken, Shrimp with Walnuts, Chicken Chow Fon, Roa... | Typical Chinese eatery in Chinatown"
Hudson Clearwater,4.2,218,Medio,american,"We enjoyed the brunch menu, and the duck hash entree was outstanding... | Happening Place"
Hummus Place,4.6,364,Bajo,"lebanese, mediterranean, middle eastern, israeli",Excellent vegetarian restaurant with... | New York Hummus Place Gabriel Culiat Review
Hummus and Pita Co,4.4,116,Bajo,"fast food, mediterranean, middle eastern","It consisted of chicken topped up with hummus, couscous and corn. The pita... | Pretty good fast food Middle Eastern"
Hunt & Fish Club,4.2,392,Muy Alto,"american, steakhouse, seafood, contemporary",My wife's tuna was dry (overcooked) but the sauce was excellent. | ... the Gnocchi with lobster and caviar.
Hurley's Saloon,4.1,734,Medio,"american, irish, bar, pub","... pub grub like burgers , fish and chips etc you can get salmon, lobster bi... | This bar was right next to our Hotel in..."
I Sodi,4.3,241,Medio,italian,My friend had the Tagliatelle with caramelized onions and Parmesan which was... | We sat at the bar and shared the most...
I Trulli,4.1,271,Medio,"italian, mediterranean","Food reasonably priced, wines less so (and too many listed wines not in... | A very delightful experience with good food and service"
ICHIRAN Midtown,4.2,105,Medio,"japanese, asian, soups","Ramen is excellent, had the opportunity to visit this place in japan and... | Great ramen!"
ICHIRAN Times Square,4.5,120,Medio,"japanese, asian",My friends and I were craving ramen on a chilly day and Ichiran was right... | Great to experience
IL Melograno,4.5,351,Medio,"italian, pizza, sicilian",Octopus/salad app was super. Tender but slightly charred octopus with a perfect... | Veal ravioli was the best.
IL Punto Ristorante,4.5,1658,Medio,"italian, seafood, contemporary","You must dry insalate Gelato, lamb chops cooked to perfection, sea bass - del... | My wife and I recently had a wonderful..."
Il Brigante,4.3,443,Medio,"italian, pizza",This place was a great find. The calamari was perfect. My salmon dish and... | Decent meal
Il Buco,4.2,560,Muy Alto,italian,Most baffling was the kale salad -- which I thought was quite good -- and was... | Hey this is NYC - it will be loud it will...
Il Cantinori,4.2,212,Muy Alto,"italian, european","Had caprese salad as starter which was tasteless. | ... squid ink pasta with clams), one wi..."
Il Corallo Trattoria,4.2,285,Medio,"italian, pizza","I did not had pizza, but it looks very good and Italian ( I m Italiano myself... | Strawberry 🍓cheesecake 7. Tiramisu 8...."
Il Corso,4.5,1088,Medio,italian,"Quaint, friendly, delicious food, fresh pasta, inviting, warm. | ... clams, calamari, mussels, cherry to..."
Il Cortile Restaurant,4.1,977,Medio,italian,"For starters we had the seafood appetizer plate, luscious clams baked just ri... | If you are in Little Italy or in NYC you..."
Il Forno,3.7,676,Medio,"italian, pizza","We really enjoyed the space and will definitely be back. There’s no money... | I had the Caesar salad, chicken Alfredo..."
Il Gattopardo,4.4,800,Muy Alto,italian,Lovely Bar And Dining Room | Superior Service but dishes need a bit more oomph
Il Giglio,5.0,2,No disponible,italian,Very good Italian | The Impeccable il Giglio
Il Mulino New York,4.2,541,Muy Alto,"italian, tuscan, central-italian",It came with pasta which she didn’t want. | Just OK!
Il Mulino New York - Madison,4.1,298,Muy Alto,"italian, steakhouse, seafood","The champagne truffle pasta is amazing, hideously expensive but worth every p... | Romantic. And enough noise to give it a..."
Il Piccolo Bufalo,4.0,469,Medio,"italian, pizza","Will go back , the food was delicious and made me feel like I was back in... | Great pizza, good location, prize = qua..."
Il Tinello Ristorante,4.4,444,Muy Alto,italian,... very nice piccata sauce accompanied by asparagus and some roasted potatoes. | I had the lobster pasta Al diavolo.
Il Tinello Ristorante- East Side,4.4,15,Muy Alto,italian,Eastside fine Italian | Neighborhood gem
Il Violino,4.0,306,Medio,italian,Tasty Trattoria | Our foursome had dinner here before...
Inatteso Pizzabar,4.3,231,Medio,"italian, pizza","Right across the street you have the luxury 50 West Battery Park Apartments... | Perfect spot, before or after museum visit"
Indian Accent,4.5,596,Muy Alto,indian,i've wanted to go to indian accent for a long time and it didn't disappoint... | ... we ordered the eggplant and tofu.
Indochine,4.0,373,Muy Alto,"asian, vietnamese","We were at indochine in a Saturday night near Halloween the ambiance was... | A greatest, exotically and glam experience."
Industry Kitchen,4.1,473,Medio,"american, bar, pizza",Great waterfront restaurant | Nice view
Inti Peruvian Cuisine,4.2,64,Medio,"peruvian, latin, seafood, spanish, south american","We had the cold mashed potatoes stuffed with crabmeat and yucca fries for our... | Awesome staff, great prices"
Ipanema Restaurant,4.3,703,Medio,"brazilian, latin, portuguese","Great. Especially for an unplanned dinner, it surpassed my expectations. | Delicious but Tough Beef and Over Cooked Empanadas"
Ippudo Westside,4.5,1357,Medio,japanese,"Best ramen I have ever had. Period. Full of flavor, excellent presentation... | Delicious ramen!"
Iron Bar & Lounge,3.9,527,Medio,"italian, pizza, pub, gastropub, soups, central american",Next time I'm in the theater district in NYC I'll make a point to go back to... | Pleasant surprise
Ivan Ramen,4.4,502,Medio,"japanese, asian, contemporary","We tried the shoyu ramen and tsukemen, with gyoza and the crispy pork buns. | The Ramen is distinctive. Eating with a..."
Ivy,4.1,173,Medio,"american, bar, pub","And then there’s the Ivy Room Burger, a well-portioned masterpiece that hits... | ... a flan and a smores kit with a litt..."
Izakaya MEW,4.6,1150,Medio,japanese,The spicy tuna tartare and the uni past... | Very Delicious Traditional Japanese Food
Izakaya NoMad,4.5,104,Medio,"japanese, sushi, asian, gastropub","Great food in a friendly Izakaya. I can imagine it gets busy, so worth booking... | Fantastic and friendly"
JG Melon,4.1,884,Medio,american,"Great chili, burgers, and cottage fries at this Upper East Side bar and grill... | Good burguers"
JG Melons,4.0,204,Medio,american,Your clothes and hands will smell like burgers after you leave. But it's a... | One of the best
Jack Demsey's,4.0,195,Medio,"american, irish, bar, pub","Family Football Friendly Pub 🍀 | ... girl from Dungarvan, would highly r..."
Jack Doyle's,4.1,383,Medio,"american, irish, bar, pub",Really happy with our meal and the fabulous service Highly recommend the... | Good food and pleasant staff - a bit noisy
Jack's Wife Freda,4.3,1084,Medio,"american, mediterranean",Great all day menu | Fall Brunch in SoHo
Jackson Hole Burgers,4.3,855,Medio,american,Best Burger Ever! | Neighborhood Joint for a Burger Fix
Jacob Restaurant,4.4,115,Bajo,american,The cashiers and other workers are very pleasant. The food is tasty also. If... | Good for NYC?
Jacob Restaurant Soul Food & Salad Bar,4.5,203,Bajo,american,"Having eaten in other soul food places in Harlem, this was the best so far. It... | To think I considered not going here!"
Jacob's Pickles,4.4,1083,Medio,"american, bar",More Delicious Food Than Regular Humans Can Handle. | Country style menu. Lunch $19.
Jajaja,4.7,83,Medio,"mexican, latin, south american, central american","Good vegan Mexican food | This is the best cheesecake, vegan or..."
Jasmines Caribbean Cuisine,4.1,32,Medio,"caribbean, seafood",All in all the food was fantastic. Even the drinks brought us back to the... | Transport yourself to a Caribbean Island
Jasper's Taphouse,4.4,105,Medio,"bar, gastropub",The food is pretty basic. The beer is very good. Service is good. Prices are... | Good beers and service
Jean Georges,4.4,1976,Muy Alto,"french, international, asian, contemporary","That said, I was surprised that Jean-Georges’ six-course tasting menu did not... | an ok experience"
Jeffrey's Grocery,4.3,181,Medio,"american, seafood",Excellent... delicious... wonderful place... enjoyed oysters and drinks all... | Chilled
Jimmy's Corner,4.4,569,Bajo,pub,"Great little ""dive"" bar! | Cheap beer"
Jin Ramen Upper West Side,4.5,102,Medio,"japanese, asian",Great ramen house and for vegetarians too! | We had Kim chi ramen and green curry ra...
Jing Fong Restaurant,3.8,700,Medio,"chinese, asian, cantonese, shanghai, hong kong","Soup was delicious, sweet and sour pork great. | Delicious Dim Sum"
Joe Allen,4.2,1119,Medio,"american, contemporary","My escargot, however, was actually kind... | Great location. Comfort Food."
Joe Jr,4.4,90,Bajo,"american, diner",Amazing no-nonsense affordable cheeseburger! | Take Joe Junior’s. The first and only...
Joe's Pizza,4.3,849,Bajo,"italian, pizza, fast food","... and garlic, and pepperoni pizza, along with the deep dish cheese pizza. | Decent pizza worth a visit"
Joe's Shanghai,4.0,1971,Medio,"chinese, asian, cantonese, shanghai",The soup dumplings are rich and savory. My favorite dish is shredded pork with... | Soup Dumplings!
John Sullivan's Bar & Grill,4.1,200,Medio,"american, irish, bar, pub",Tell you what we will be recomending this to our family and friends who will be... | Good stop for a pint
