Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
Antoya BBQ,4.5,150,Medio,"korean, healthy",I loved their seafood tofu stew and veggies glass noodles. | We ordered a Beef combination package f...
Apotheke,4.3,301,Medio,bar,"Surprisingly great speakeasy bar | Pretty full, little room to sit. However..."
Applejack Diner,3.9,1189,Medio,diner,"Stopped by this diner as we were walking by and we were glad we did. Pina... | ... - lots of pasta dishes, steaks, sal..."
Aquavit Restaurant,4.3,585,Muy Alto,"american, international, european, swedish, scandinavian, norwegian","If you have a dress code, you should en... | Exquisite"
Arco Cafe,4.4,174,Medio,"italian, pizza, sardinian","Gnocchi alla Montanara, Seafood pasta, Burrata e Prosciutto, Culurgiones... | Great homemade pasta"
Aretsky's Patroon,4.5,199,Muy Alto,"american, steakhouse, seafood","Tuna tartare: super fresh, perfectly seasoned, excellent. | Good bar and several private dining rooms..."
Ariana Afghan Kabab Restaurant,4.5,185,Medio,"middle eastern, afghan",We shared delicious pumpkin and beef turnover appetizers. I had the lamb kebabs... | Great afghan food
Arno Ristorante,4.0,445,Medio,"italian, steakhouse, seafood, grill",... then ordered the tortellini bolognese (fresh pasta) and pollo alla limone... | First time to Arno. Very nice atmosphere...
Aroy Dee Thai Kitchen,4.5,71,Bajo,"asian, thai","The duck curry was amazing - sweet, spicy and crunchy, as was the papaya salad. | This place is great , best Thai food in..."
Arte Cafe,3.8,392,Medio,"italian, american, wine bar",DEAR READER---There is still excellent Italian grilled SALMON in the Crisis... | I had the chicken parm and tiramisu as...
Artichoke Basille's Pizza,4.3,726,Bajo,"italian, american, pizza",A delicious change from the classic | Good but sooo greasy
Ashford & Simpson's Sugar Bar,4.1,81,Medio,"american, bar",I WILL NEVER FORGET THIS BIRTHDAY!!! ThankS VALERIE SIMPSON AND STAFF OF SUGAR... | City Gem
Astro Restaurant,4.0,904,Bajo,"american, cafe, diner",Hit up Astro for breakfast on first morning in NYC as it was just round the... | Good Breakfast
