station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
143,Inwood-207 St (A),17,5975.0,40.868073,-73.9199
143,Inwood-207 St (A),18,4143.0,40.868073,-73.9199
143,Inwood-207 St (A),19,2274.0,40.868073,-73.9199
143,Inwood-207 St (A),20,1433.0,40.868073,-73.9199
143,Inwood-207 St (A),21,1471.0,40.868073,-73.9199
144,Dyckman St (A),10,3673.0,40.86549,-73.92727
144,Dyckman St (A),11,3002.0,40.86549,-73.92727
144,Dyckman St (A),12,4244.0,40.86549,-73.92727
144,Dyckman St (A),13,4776.0,40.86549,-73.92727
144,Dyckman St (A),14,5038.0,40.86549,-73.92727
144,Dyckman St (A),15,5929.0,40.86549,-73.92727
144,Dyckman St (A),16,6288.0,40.86549,-73.92727
144,Dyckman St (A),17,5266.0,40.86549,-73.92727
144,Dyckman St (A),18,3190.0,40.86549,-73.92727
144,Dyckman St (A),19,1965.0,40.86549,-73.92727
144,Dyckman St (A),20,1233.0,40.86549,-73.92727
144,Dyckman St (A),21,829.0,40.86549,-73.92727
145,190 St (A),10,2606.0,40.85902,-73.93418
145,190 St (A),11,2245.0,40.85902,-73.93418
145,190 St (A),12,2433.0,40.85902,-73.93418
145,190 St (A),13,2357.0,40.85902,-73.93418
145,190 St (A),14,2743.0,40.85902,-73.93418
145,190 St (A),15,3154.0,40.85902,-73.93418000000001
145,190 St (A),16,4271.0,40.85902,-73.93418
145,190 St (A),17,3418.0,40.85902,-73.93418
145,190 St (A),18,1992.0,40.85902,-73.93418
145,190 St (A),19,1078.0,40.85902,-73.93418
145,190 St (A),20,498.0,40.85902,-73.93418
145,190 St (A),21,275.0,40.85902,-73.93418
146,181 St (A),10,7417.0,40.851696,-73.937965
146,181 St (A),11,6891.0,40.851696,-73.937965
146,181 St (A),12,6527.0,40.851696,-73.937965
146,181 St (A),13,6027.0,40.851696,-73.937965
146,181 St (A),14,5747.0,40.851696,-73.937965
146,181 St (A),15,6123.0,40.851696,-73.937965
146,181 St (A),16,7431.0,40.851696,-73.937965
146,181 St (A),17,6624.0,40.851696,-73.937965
146,181 St (A),18,5774.0,40.851696,-73.937965
146,181 St (A),19,2535.0,40.851696,-73.937965
146,181 St (A),20,1495.0,40.851696,-73.937965
146,181 St (A),21,1215.0,40.851696,-73.937965
147,175 St (A),10,7398.0,40.84739,-73.939705
147,175 St (A),11,7449.0,40.84739,-73.939705
147,175 St (A),12,6982.0,40.84739,-73.939705
147,175 St (A),13,7454.0,40.84739,-73.939705
147,175 St (A),14,7931.0,40.84739,-73.939705
147,175 St (A),15,8189.0,40.84739,-73.939705
147,175 St (A),16,9212.0,40.84739,-73.939705
147,175 St (A),17,9293.0,40.84739,-73.939705
147,175 St (A),18,7419.0,40.84739,-73.939705
147,175 St (A),19,4439.0,40.84739,-73.939705
147,175 St (A),20,3165.0,40.84739,-73.93970499999999
147,175 St (A),21,1978.0,40.84739,-73.939705
149,163 St-Amsterdam Av (C),10,1781.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),11,1986.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),12,1756.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),13,1828.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),14,2405.0,40.836014000000006,-73.939896
149,163 St-Amsterdam Av (C),15,2599.0,40.836014,-73.939896
149,163 St-Amsterdam Av (C),16,2908.0,40.836014,-73.939896
